Mushroom ID,Cap Shape,Cap Color,Gill Size,Stalk Shape,Habitat,Edibility,Market Demand,Spore Print Color,Population,Odor,Bruising,Ring Type,Stalk Surface Above Ring,Stalk Surface Below Ring,Stalk Color Above Ring,Stalk Color Below Ring,Veil Type,Veil Color,Growth Rate,Inspection Date,Incubation date,Temperature,Measurement
156,bell,red,broad,enlarging,paths,edible,8,yellow,scattered,foul,Yes,none,silky,silky,orange,gray,partial,orange,2.349829707,02/02/2021,02/01/2021,19.0,C
157,convex,white,narrow,tapering,grasses,edible,3,yellow,numerous,foul,Yes,pendant,fibrous,smooth,pink,gray,partial,orange,2.616185774,05/08/2023,05/04/2023,17.0,C
158,bell,red,narrow,tapering,urban,edible,9,white,numerous,almond,Yes,evanescent,fibrous,fibrous,pink,gray,universal,yellow,0.831393066,04/08/2023,04/02/2023,24.0,C
159,flat,gray,narrow,tapering,paths,,5,orange,numerous,anise,No,evanescent,scaly,fibrous,orange,white,universal,yellow,2.381434976,05/09/2023,05/04/2023,15.0,C
160,bell,gray,broad,enlarging,leaves,poisonous,6,orange,solitary,musty,Yes,flaring,silky,smooth,pink,white,partial,brown,1.891256528,04/02/2023,04/01/2023,10.0,C
161,conical,white,broad,enlarging,grasses,edible,5,white,several,almond,Yes,none,fibrous,smooth,gray,gray,universal,yellow,4.716580191,03/07/2023,03/05/2023,23.0,C
162,conical,yellow,narrow,enlarging,urban,poisonous,1,brown,several,anise,No,none,silky,fibrous,gray,brown,partial,brown,4.068351106,03/09/2023,03/01/2023,5.0,C
163,bell,white,narrow,enlarging,leaves,poisonous,2,orange,solitary,creosote,Yes,none,silky,smooth,pink,gray,universal,orange,3.036203613,05/10/2023,05/02/2023,20.0,C
164,sunken,white,broad,tapering,grasses,edible,9,white,solitary,almond,Yes,none,fibrous,fibrous,white,pink,universal,white,0.502267005,01/06/2023,01/04/2023,23.0,C
165,flat,brown,broad,tapering,urban,edible,3,brown,abundant,almond,No,pendant,silky,silky,orange,brown,universal,yellow,4.096379386,05/11/2023,05/05/2023,5.0,C
166,sunken,red,narrow,enlarging,grasses,poisonous,3,brown,numerous,foul,No,flaring,scaly,smooth,brown,gray,partial,brown,1.000206828,05/10/2022,05/02/2022,8.0,C
167,sunken,yellow,narrow,enlarging,leaves,poisonous,8,brown,numerous,almond,Yes,none,fibrous,fibrous,pink,white,universal,brown,1.220528483,1/13/2023,01/05/2023,4.0,C
168,conical,yellow,broad,enlarging,urban,poisonous,3,brown,numerous,musty,No,pendant,fibrous,scaly,pink,orange,partial,orange,2.979555436,05/07/2023,05/02/2023,10.0,C
169,conical,yellow,narrow,enlarging,grasses,poisonous,1,yellow,numerous,almond,No,evanescent,scaly,scaly,pink,pink,partial,white,1.62176693,02/10/2023,02/04/2023,25.0,C
170,bell,gray,broad,enlarging,grasses,edible,1,brown,abundant,musty,No,evanescent,scaly,fibrous,white,pink,universal,yellow,3.48202381,04/07/2023,04/03/2023,28.0,C
171,bell,brown,narrow,enlarging,paths,poisonous,3,brown,abundant,musty,No,none,smooth,smooth,brown,gray,partial,orange,0.919597065,01/10/2023,01/04/2023,1.0,C
172,convex,red,broad,tapering,urban,edible,9,brown,numerous,almond,Yes,none,silky,silky,pink,pink,universal,yellow,3.356904378,04/06/2023,04/04/2023,5.0,C
173,conical,red,broad,tapering,urban,edible,4,black,abundant,creosote,No,pendant,fibrous,fibrous,pink,pink,universal,white,2.649240896,02/04/2023,02/01/2023,9.0,C
174,bell,gray,broad,tapering,paths,poisonous,10,brown,numerous,anise,Yes,flaring,scaly,silky,white,gray,universal,white,3.795885722,03/10/2020,03/04/2020,13.0,C
175,flat,yellow,broad,enlarging,woods,poisonous,5,black,numerous,anise,No,evanescent,scaly,smooth,orange,white,partial,brown,4.035629888,01/04/2023,01/02/2023,20.0,C
176,bell,red,narrow,tapering,urban,edible,9,brown,numerous,anise,No,pendant,silky,fibrous,pink,brown,universal,brown,4.292324982,01/02/2023,01/01/2023,17.0,C
177,conical,red,narrow,enlarging,urban,edible,3,white,solitary,creosote,Yes,pendant,fibrous,silky,pink,gray,partial,brown,1.962174797,01/04/2023,01/01/2023,16.0,C
178,flat,gray,narrow,enlarging,urban,poisonous,4,orange,several,creosote,No,evanescent,silky,scaly,brown,brown,universal,white,2.469197585,02/12/2023,02/04/2023,13.0,C
179,flat,white,narrow,enlarging,urban,poisonous,3,yellow,scattered,anise,No,evanescent,smooth,fibrous,pink,gray,partial,brown,2.323495175,05/01/2020,05/01/2020,10.0,C
180,flat,yellow,narrow,tapering,leaves,edible,3,black,numerous,creosote,Yes,pendant,fibrous,scaly,brown,white,partial,brown,4.577570291,01/10/2023,01/03/2023,8.0,C
181,conical,brown,narrow,tapering,paths,poisonous,1,brown,abundant,almond,No,none,silky,fibrous,orange,orange,partial,orange,0.502267005,04/06/2023,04/01/2023,17.0,C
182,flat,yellow,narrow,tapering,paths,poisonous,5,brown,numerous,creosote,Yes,none,scaly,fibrous,gray,brown,partial,white,1.17242222,05/11/2023,05/05/2023,4.0,C
183,conical,gray,narrow,tapering,urban,edible,2,black,scattered,foul,Yes,none,scaly,smooth,pink,white,universal,orange,4.902910422,03/06/2023,03/05/2023,27.0,C
184,sunken,brown,narrow,enlarging,leaves,poisonous,5,brown,solitary,almond,No,evanescent,scaly,silky,white,brown,universal,yellow,3.42098336,05/06/2023,05/02/2023,15.0,C
185,bell,brown,narrow,tapering,urban,poisonous,5,black,numerous,musty,Yes,evanescent,silky,smooth,brown,gray,universal,yellow,3.452968617,02/02/2023,02/01/2023,9.0,C
186,conical,yellow,narrow,tapering,urban,edible,8,brown,abundant,anise,Yes,evanescent,fibrous,smooth,pink,orange,universal,yellow,3.345441886,02/05/2022,02/03/2022,10.0,C
187,flat,gray,narrow,enlarging,leaves,edible,5,brown,abundant,almond,Yes,evanescent,fibrous,smooth,pink,gray,universal,white,2.141049853,02/04/2023,02/03/2023,18.0,C
188,flat,gray,broad,tapering,urban,poisonous,4,white,numerous,anise,Yes,none,silky,scaly,pink,brown,universal,brown,1.832178259,05/04/2023,05/02/2023,2.0,C
189,convex,gray,narrow,tapering,paths,edible,3,brown,numerous,almond,No,evanescent,scaly,silky,orange,gray,universal,orange,2.386608508,02/11/2023,02/02/2023,2.0,C
190,conical,gray,narrow,enlarging,woods,edible,9,orange,several,creosote,No,evanescent,silky,scaly,brown,pink,universal,white,3.627386053,03/10/2023,03/01/2023,20.0,C
191,convex,yellow,broad,enlarging,urban,poisonous,2,orange,numerous,foul,Yes,evanescent,fibrous,fibrous,white,gray,partial,orange,1.617495705,1/13/2023,01/05/2023,22.0,C
192,sunken,gray,narrow,tapering,paths,poisonous,2,black,solitary,creosote,Yes,none,scaly,scaly,gray,orange,partial,white,0.519669307,03/11/2023,03/03/2023,1.0,C
193,convex,gray,narrow,enlarging,leaves,edible,7,black,solitary,musty,No,flaring,smooth,silky,gray,white,universal,orange,1.655014535,05/11/2022,05/02/2022,1.0,C
194,sunken,white,broad,tapering,urban,edible,6,orange,scattered,creosote,Yes,flaring,fibrous,scaly,pink,gray,partial,white,2.163725715,2/13/2023,02/04/2023,0.0,C
195,bell,gray,narrow,tapering,urban,poisonous,10,orange,solitary,almond,Yes,pendant,silky,scaly,brown,brown,universal,brown,4.150753314,02/09/2022,02/04/2022,3.0,C
196,flat,red,narrow,tapering,grasses,edible,10,white,several,creosote,Yes,evanescent,scaly,fibrous,pink,orange,partial,white,2.030492154,05/07/2023,05/04/2023,5.0,C
197,flat,red,narrow,enlarging,woods,poisonous,4,black,solitary,creosote,Yes,evanescent,scaly,silky,white,orange,partial,orange,1.998351829,05/06/2023,05/03/2023,22.0,C
198,sunken,yellow,narrow,tapering,grasses,poisonous,1,orange,numerous,musty,Yes,flaring,fibrous,smooth,brown,orange,universal,white,1.06731158,02/10/2023,02/01/2023,17.0,C
199,conical,gray,broad,tapering,paths,poisonous,3,orange,numerous,anise,No,evanescent,fibrous,smooth,orange,gray,universal,yellow,2.335504669,04/03/2023,04/03/2023,14.0,C
200,conical,brown,narrow,enlarging,urban,edible,1,brown,solitary,almond,Yes,evanescent,smooth,silky,orange,brown,partial,yellow,3.675617568,02/10/2023,02/03/2023,28.0,C
201,conical,gray,narrow,tapering,woods,edible,3,orange,numerous,foul,Yes,none,fibrous,scaly,pink,white,universal,yellow,2.429167569,05/04/2022,05/03/2022,27.0,C
202,sunken,red,broad,enlarging,urban,poisonous,1,yellow,numerous,creosote,No,none,scaly,smooth,pink,pink,partial,white,2.748750778,04/10/2023,04/05/2023,4.0,C
203,conical,gray,broad,enlarging,urban,edible,4,yellow,several,almond,No,none,scaly,scaly,white,gray,partial,white,2.692798566,04/08/2023,04/02/2023,5.0,C
204,conical,gray,narrow,enlarging,woods,poisonous,1,white,numerous,almond,Yes,evanescent,silky,silky,brown,orange,universal,white,2.925201075,01/10/2023,01/05/2023,20.0,C
205,conical,brown,narrow,enlarging,woods,poisonous,5,white,solitary,almond,No,none,fibrous,scaly,brown,gray,partial,brown,4.109045323,04/04/2023,04/03/2023,28.0,C
206,bell,white,narrow,enlarging,leaves,poisonous,3,brown,several,almond,No,none,silky,smooth,brown,gray,universal,brown,1.90226048,02/06/2023,02/05/2023,24.0,C
207,bell,brown,narrow,enlarging,urban,poisonous,4,black,scattered,musty,Yes,none,smooth,silky,gray,orange,partial,yellow,4.071134832,03/07/2023,03/04/2023,27.0,C
208,flat,yellow,narrow,enlarging,leaves,,3,brown,numerous,foul,Yes,none,scaly,smooth,pink,orange,universal,orange,0.502267005,04/10/2023,04/02/2023,16.0,C
209,convex,gray,narrow,enlarging,grasses,poisonous,3,white,solitary,anise,Yes,evanescent,scaly,smooth,white,white,partial,orange,1.116043077,01/11/2023,01/04/2023,8.0,C
210,sunken,red,narrow,tapering,urban,poisonous,8,white,several,musty,No,evanescent,fibrous,fibrous,gray,orange,partial,yellow,2.344741381,01/09/2022,01/04/2022,16.0,C
211,bell,white,narrow,tapering,grasses,poisonous,8,brown,solitary,musty,Yes,evanescent,smooth,scaly,gray,orange,partial,white,4.937737822,05/06/2023,05/02/2023,25.0,C
212,conical,gray,broad,enlarging,urban,poisonous,6,brown,numerous,almond,No,flaring,fibrous,scaly,pink,gray,universal,yellow,3.094512606,05/07/2023,05/05/2023,27.0,C
213,conical,gray,broad,enlarging,paths,poisonous,3,black,numerous,musty,No,evanescent,scaly,scaly,pink,white,partial,brown,3.202727111,03/07/2023,03/01/2023,25.0,C
214,convex,gray,narrow,tapering,urban,edible,2,brown,numerous,anise,Yes,pendant,fibrous,smooth,brown,brown,partial,white,1.682838273,03/05/2020,03/02/2020,0.0,C
215,conical,yellow,broad,enlarging,grasses,poisonous,4,brown,numerous,foul,Yes,evanescent,silky,smooth,pink,orange,universal,white,4.205662573,02/07/2023,02/01/2023,2.0,C
216,convex,white,narrow,enlarging,paths,,6,yellow,numerous,almond,No,evanescent,silky,silky,pink,pink,partial,orange,0.65914542,05/04/2023,05/04/2023,22.0,C
217,convex,white,narrow,enlarging,woods,poisonous,4,yellow,abundant,almond,Yes,none,scaly,scaly,brown,gray,universal,brown,2.83796865,01/10/2023,01/02/2023,24.0,C
218,flat,brown,broad,enlarging,urban,poisonous,1,white,numerous,foul,No,pendant,silky,scaly,brown,gray,universal,yellow,3.624264142,02/12/2023,02/04/2023,17.0,C
219,sunken,white,narrow,tapering,paths,edible,3,orange,abundant,anise,No,pendant,silky,fibrous,white,orange,universal,yellow,4.211644229,03/01/2020,03/01/2020,4.0,C
220,sunken,gray,broad,enlarging,urban,edible,9,brown,scattered,creosote,No,flaring,silky,silky,gray,white,universal,orange,0.502267005,04/06/2023,04/05/2023,14.0,C
221,sunken,gray,broad,enlarging,leaves,edible,2,brown,scattered,anise,No,pendant,silky,silky,white,pink,universal,orange,2.196633482,5/13/2023,05/05/2023,18.0,C
222,sunken,brown,narrow,tapering,paths,,7,black,numerous,creosote,No,pendant,fibrous,silky,white,pink,universal,orange,3.473102528,01/05/2023,01/01/2023,16.0,C
223,convex,gray,broad,enlarging,woods,edible,6,brown,several,musty,No,none,scaly,scaly,pink,gray,universal,orange,4.188277079,04/05/2023,04/04/2023,25.0,C
224,conical,red,broad,enlarging,paths,edible,1,white,numerous,creosote,Yes,evanescent,scaly,smooth,pink,orange,universal,brown,1.139526503,05/07/2023,05/03/2023,11.0,C
225,convex,gray,narrow,enlarging,paths,poisonous,3,brown,several,musty,No,evanescent,fibrous,silky,white,brown,partial,white,4.819508839,02/12/2023,02/04/2023,22.0,C
226,flat,yellow,broad,enlarging,leaves,poisonous,5,black,numerous,musty,Yes,evanescent,silky,smooth,gray,brown,partial,brown,4.504063909,03/07/2023,03/04/2023,20.0,C
227,convex,white,narrow,tapering,woods,edible,7,brown,numerous,anise,No,flaring,fibrous,fibrous,brown,gray,partial,brown,3.032626343,03/04/2023,03/01/2023,27.0,C
228,conical,gray,narrow,enlarging,paths,poisonous,4,brown,abundant,almond,No,none,silky,silky,white,brown,universal,orange,1.326837665,01/07/2023,01/02/2023,11.0,C
229,sunken,gray,broad,enlarging,urban,edible,1,white,scattered,musty,Yes,evanescent,scaly,fibrous,gray,white,partial,brown,3.585433616,02/08/2023,02/05/2023,14.0,C
230,bell,red,narrow,tapering,grasses,poisonous,1,orange,solitary,musty,Yes,evanescent,silky,silky,brown,orange,universal,white,1.173500004,03/07/2022,03/05/2022,0.0,C
231,conical,white,narrow,enlarging,woods,edible,6,black,numerous,almond,No,flaring,fibrous,fibrous,gray,brown,partial,yellow,3.039051991,04/03/2023,04/03/2023,21.0,C
232,bell,red,narrow,enlarging,grasses,edible,3,yellow,numerous,musty,No,none,silky,silky,orange,gray,universal,brown,2.185361339,5/13/2023,05/05/2023,14.0,C
233,conical,brown,narrow,enlarging,grasses,poisonous,4,black,scattered,foul,Yes,pendant,silky,fibrous,pink,orange,partial,white,2.01721415,05/04/2023,05/04/2023,19.0,C
234,conical,gray,narrow,tapering,paths,edible,8,black,numerous,musty,No,evanescent,fibrous,fibrous,white,orange,partial,white,0.605137008,04/10/2023,04/04/2023,1.0,C
235,conical,white,broad,enlarging,urban,poisonous,8,orange,several,almond,No,pendant,silky,smooth,orange,white,partial,yellow,0.968825441,04/11/2023,04/05/2023,28.0,C
236,conical,yellow,narrow,enlarging,grasses,edible,8,brown,abundant,almond,No,none,scaly,fibrous,pink,gray,partial,brown,3.97966518,02/07/2023,02/03/2023,16.0,C
237,bell,brown,narrow,tapering,leaves,edible,6,brown,several,foul,Yes,none,scaly,scaly,orange,white,universal,yellow,0.667067974,05/03/2023,05/01/2023,26.0,C
238,conical,yellow,narrow,tapering,leaves,poisonous,7,brown,abundant,creosote,Yes,flaring,silky,fibrous,pink,white,partial,white,3.394917441,04/08/2023,04/04/2023,25.0,C
239,conical,gray,broad,enlarging,urban,,10,white,solitary,almond,Yes,pendant,fibrous,scaly,pink,brown,universal,orange,4.622035828,04/01/2023,04/01/2023,15.0,C
240,conical,white,narrow,enlarging,woods,poisonous,2,black,numerous,creosote,Yes,flaring,smooth,silky,pink,orange,universal,orange,0.606906445,04/05/2023,04/01/2023,7.0,C
241,convex,gray,narrow,enlarging,grasses,poisonous,10,brown,numerous,almond,Yes,flaring,silky,fibrous,gray,white,universal,white,3.745859517,03/02/2023,03/02/2023,15.0,C
242,bell,gray,broad,enlarging,leaves,edible,9,black,numerous,almond,Yes,flaring,scaly,silky,pink,gray,partial,brown,4.802835755,4/13/2022,04/05/2022,14.0,C
243,sunken,white,broad,tapering,leaves,,4,orange,solitary,almond,Yes,none,smooth,fibrous,white,pink,universal,white,3.551968563,03/04/2023,03/04/2023,14.0,C
244,flat,brown,broad,tapering,paths,edible,3,orange,solitary,almond,No,none,silky,silky,gray,brown,partial,white,1.276895539,05/09/2023,05/03/2023,25.0,C
245,flat,white,narrow,enlarging,woods,edible,2,brown,abundant,almond,Yes,pendant,scaly,silky,pink,gray,partial,white,0.751176208,02/12/2023,02/04/2023,13.0,C
246,convex,gray,narrow,enlarging,woods,poisonous,1,yellow,solitary,anise,Yes,none,scaly,silky,pink,brown,universal,white,3.128083775,02/09/2023,02/02/2023,9.0,C
247,conical,brown,narrow,enlarging,urban,poisonous,3,orange,scattered,creosote,Yes,none,silky,silky,pink,orange,partial,white,1.439533,05/05/2023,05/01/2023,23.0,C
248,conical,white,narrow,tapering,paths,,10,black,numerous,creosote,No,none,silky,silky,orange,brown,universal,white,1.892024221,01/02/2023,01/01/2023,4.0,C
249,flat,red,narrow,enlarging,grasses,edible,2,brown,several,almond,Yes,pendant,fibrous,scaly,pink,gray,partial,white,0.649240707,05/02/2023,05/02/2023,0.0,C
250,conical,brown,broad,tapering,woods,poisonous,7,orange,scattered,almond,No,evanescent,fibrous,scaly,pink,brown,partial,white,0.502267005,02/12/2022,02/04/2022,19.0,C
251,conical,yellow,narrow,tapering,urban,poisonous,2,white,numerous,almond,No,evanescent,silky,silky,orange,white,partial,white,2.640304856,05/08/2023,05/01/2023,16.0,C
252,conical,red,broad,tapering,woods,edible,8,white,several,anise,No,pendant,fibrous,smooth,orange,orange,universal,brown,1.236154021,02/07/2023,02/03/2023,13.0,C
253,sunken,brown,narrow,tapering,urban,edible,5,orange,numerous,anise,No,pendant,scaly,silky,pink,gray,universal,yellow,1.015273453,04/02/2023,04/01/2023,6.0,C
254,convex,gray,narrow,enlarging,paths,edible,7,black,abundant,almond,Yes,pendant,fibrous,scaly,pink,orange,universal,white,1.320446858,05/06/2023,05/03/2023,25.0,C
255,sunken,brown,broad,enlarging,grasses,,10,yellow,abundant,almond,No,none,scaly,fibrous,brown,pink,partial,yellow,0.832485676,04/10/2023,04/02/2023,19.0,C
256,flat,white,narrow,enlarging,leaves,edible,1,yellow,scattered,foul,Yes,flaring,silky,smooth,pink,brown,universal,white,3.420740417,04/05/2023,04/03/2023,23.0,C
257,bell,gray,narrow,enlarging,leaves,poisonous,3,brown,scattered,almond,Yes,evanescent,smooth,smooth,orange,white,partial,white,3.586401862,03/08/2023,03/05/2023,25.0,C
258,convex,gray,narrow,tapering,urban,poisonous,10,brown,abundant,creosote,No,evanescent,scaly,fibrous,orange,orange,universal,orange,3.897091367,05/06/2023,05/02/2023,19.0,C
259,sunken,gray,narrow,enlarging,urban,,9,black,scattered,musty,No,evanescent,smooth,fibrous,brown,white,universal,white,4.18053912,03/09/2023,03/04/2023,20.0,C
260,convex,gray,narrow,enlarging,woods,edible,4,orange,numerous,musty,Yes,evanescent,scaly,scaly,white,brown,universal,white,0.502267005,02/10/2023,02/03/2023,9.0,C
261,conical,gray,broad,enlarging,urban,poisonous,2,white,numerous,foul,No,none,silky,scaly,white,gray,universal,white,3.358368954,01/07/2023,01/01/2023,21.0,C
262,conical,brown,broad,enlarging,urban,poisonous,1,yellow,solitary,almond,Yes,none,fibrous,scaly,gray,orange,universal,white,4.275858051,05/06/2022,05/02/2022,6.0,C
263,convex,gray,broad,enlarging,leaves,poisonous,5,brown,several,anise,No,evanescent,scaly,silky,orange,gray,partial,brown,3.832846758,05/04/2022,05/02/2022,13.0,C
264,convex,gray,narrow,enlarging,urban,poisonous,4,yellow,numerous,almond,No,none,silky,smooth,brown,brown,universal,orange,1.208980852,03/10/2023,03/04/2023,28.0,C
265,flat,gray,broad,enlarging,woods,poisonous,9,brown,abundant,anise,No,none,smooth,silky,pink,pink,partial,yellow,0.502267005,03/11/2023,03/03/2023,26.0,C
266,sunken,white,broad,enlarging,urban,poisonous,5,brown,abundant,almond,Yes,none,scaly,smooth,orange,gray,partial,brown,4.024384848,03/01/2023,03/01/2023,21.0,C
267,flat,red,narrow,enlarging,grasses,poisonous,2,orange,numerous,musty,Yes,none,smooth,silky,brown,gray,partial,orange,3.242301164,02/12/2023,02/04/2023,6.0,C
268,bell,gray,narrow,enlarging,leaves,poisonous,10,brown,scattered,foul,No,evanescent,fibrous,fibrous,pink,white,partial,yellow,1.006137066,02/05/2023,02/04/2023,0.0,C
269,convex,gray,broad,enlarging,woods,,7,white,numerous,almond,No,evanescent,silky,silky,pink,white,universal,yellow,4.325453848,04/10/2023,04/04/2023,17.0,C
270,conical,white,narrow,tapering,paths,poisonous,7,yellow,several,almond,No,pendant,smooth,silky,white,gray,partial,brown,1.509490938,05/06/2023,05/01/2023,28.0,C
271,conical,yellow,broad,enlarging,paths,poisonous,3,black,numerous,anise,Yes,none,silky,scaly,gray,pink,universal,orange,0.502267005,05/03/2023,05/03/2023,26.0,C
272,bell,white,broad,tapering,grasses,,3,brown,abundant,anise,No,pendant,scaly,silky,orange,white,partial,white,1.218269361,01/09/2023,01/05/2023,6.0,C
273,convex,white,narrow,enlarging,grasses,edible,10,brown,solitary,almond,Yes,none,silky,scaly,brown,brown,partial,white,4.638399213,1/13/2023,01/05/2023,10.0,C
274,flat,gray,narrow,enlarging,urban,edible,2,white,solitary,anise,No,none,scaly,scaly,brown,brown,partial,brown,0.689556769,02/07/2023,02/03/2023,20.0,C
275,bell,yellow,broad,enlarging,urban,poisonous,4,yellow,numerous,almond,Yes,flaring,smooth,scaly,orange,white,partial,orange,0.750439864,02/12/2023,02/03/2023,7.0,C
276,sunken,gray,broad,enlarging,urban,poisonous,2,black,abundant,musty,No,none,smooth,silky,white,gray,universal,white,3.016515222,03/06/2023,03/02/2023,0.0,C
277,conical,white,narrow,enlarging,paths,,7,brown,abundant,almond,Yes,pendant,silky,fibrous,brown,gray,universal,orange,4.480072496,01/04/2023,01/01/2023,29.0,C
278,bell,white,broad,tapering,leaves,poisonous,8,white,numerous,musty,Yes,none,smooth,silky,pink,gray,universal,white,2.799085338,04/07/2023,04/01/2023,5.0,C
279,conical,gray,narrow,tapering,grasses,poisonous,1,orange,numerous,musty,Yes,pendant,scaly,smooth,white,gray,partial,brown,0.502267005,03/04/2023,03/04/2023,21.0,C
280,flat,gray,narrow,tapering,grasses,poisonous,9,orange,scattered,musty,No,evanescent,silky,fibrous,pink,white,partial,white,2.500121477,04/06/2023,04/01/2023,10.0,C
281,bell,brown,narrow,enlarging,paths,poisonous,3,yellow,abundant,musty,Yes,flaring,scaly,smooth,gray,white,universal,white,1.758777226,04/07/2023,04/01/2023,4.0,C
282,bell,white,narrow,enlarging,urban,edible,3,brown,several,almond,Yes,pendant,silky,silky,pink,gray,universal,white,2.543134991,05/04/2023,05/01/2023,5.0,C
283,conical,red,broad,enlarging,leaves,poisonous,7,white,numerous,almond,Yes,evanescent,scaly,fibrous,brown,brown,partial,white,0.743634745,05/05/2023,05/01/2023,14.0,C
284,convex,brown,broad,tapering,leaves,poisonous,9,yellow,numerous,almond,Yes,none,smooth,silky,gray,white,universal,orange,1.787323622,03/04/2023,03/01/2023,16.0,C
285,conical,brown,broad,tapering,woods,poisonous,6,brown,abundant,creosote,No,pendant,scaly,silky,white,brown,universal,white,3.018469084,02/10/2023,02/01/2023,6.0,C
286,convex,yellow,narrow,enlarging,paths,edible,7,brown,solitary,almond,Yes,flaring,silky,fibrous,white,white,partial,orange,2.709479994,01/05/2023,01/05/2023,4.0,C
287,convex,brown,narrow,enlarging,urban,edible,7,orange,solitary,almond,No,flaring,smooth,silky,gray,gray,universal,white,2.936631709,01/10/2023,01/03/2023,7.0,C
288,flat,yellow,broad,tapering,urban,edible,8,brown,scattered,anise,No,evanescent,smooth,smooth,white,gray,universal,brown,0.502267005,01/08/2023,01/02/2023,22.0,C
289,flat,brown,broad,enlarging,leaves,poisonous,3,brown,numerous,creosote,Yes,flaring,fibrous,silky,pink,white,partial,brown,4.051786849,01/11/2023,01/03/2023,5.0,C
290,sunken,yellow,broad,enlarging,leaves,edible,7,brown,several,foul,No,evanescent,scaly,silky,brown,gray,partial,orange,4.507988538,02/07/2023,02/02/2023,15.0,C
291,bell,white,narrow,tapering,urban,edible,4,brown,several,almond,Yes,flaring,scaly,scaly,pink,pink,universal,white,4.700895512,05/10/2023,05/05/2023,13.0,C
292,sunken,brown,broad,enlarging,leaves,poisonous,3,black,numerous,anise,Yes,pendant,smooth,silky,pink,gray,universal,yellow,0.77962778,04/03/2023,04/01/2023,0.0,C
293,conical,yellow,broad,enlarging,paths,poisonous,3,brown,numerous,almond,No,none,silky,smooth,white,white,universal,white,1.370820568,03/04/2023,03/03/2023,13.0,C
294,conical,red,narrow,enlarging,urban,poisonous,2,black,numerous,foul,No,none,scaly,scaly,orange,white,partial,orange,1.214507413,04/10/2023,04/05/2023,28.0,C
295,conical,yellow,broad,enlarging,grasses,poisonous,10,brown,solitary,almond,Yes,flaring,fibrous,silky,pink,white,universal,orange,3.471052098,02/07/2023,02/01/2023,13.0,C
296,conical,brown,broad,enlarging,grasses,edible,9,black,abundant,musty,No,pendant,silky,smooth,brown,orange,partial,yellow,4.237676558,03/04/2023,03/01/2023,3.0,C
297,conical,brown,broad,enlarging,leaves,,7,black,numerous,foul,Yes,evanescent,smooth,scaly,brown,pink,partial,white,3.862807977,01/11/2023,01/04/2023,17.0,C
298,conical,brown,broad,tapering,urban,poisonous,6,black,numerous,musty,Yes,none,silky,silky,orange,gray,universal,orange,0.61606448,05/01/2023,05/01/2023,6.0,C
299,bell,brown,narrow,enlarging,urban,poisonous,3,black,numerous,foul,Yes,flaring,smooth,silky,brown,orange,universal,yellow,0.856176268,01/08/2023,01/05/2023,25.0,C
300,conical,white,narrow,tapering,paths,poisonous,1,yellow,abundant,almond,No,pendant,fibrous,silky,gray,orange,partial,white,4.985730218,03/05/2023,03/01/2023,21.0,C
301,convex,red,broad,enlarging,paths,edible,5,orange,several,almond,Yes,none,scaly,scaly,pink,gray,universal,white,2.396248012,02/07/2023,02/02/2023,17.0,C
302,sunken,brown,broad,enlarging,urban,edible,10,yellow,abundant,foul,No,none,silky,scaly,white,gray,partial,white,0.502267005,03/02/2023,03/01/2023,18.0,C
303,conical,yellow,broad,tapering,paths,poisonous,3,black,numerous,anise,No,flaring,silky,scaly,orange,gray,universal,yellow,0.738571626,03/07/2021,03/05/2021,10.0,C
304,conical,gray,narrow,tapering,urban,poisonous,5,brown,scattered,creosote,Yes,evanescent,scaly,silky,brown,pink,universal,yellow,1.8101132,02/07/2023,02/01/2023,25.0,C
305,conical,gray,narrow,tapering,leaves,poisonous,5,white,scattered,musty,No,none,scaly,smooth,pink,pink,partial,white,2.371807714,02/06/2023,02/03/2023,7.0,C
306,sunken,white,broad,enlarging,paths,edible,1,yellow,several,almond,No,none,silky,fibrous,white,pink,universal,orange,2.38588806,04/05/2022,04/01/2022,29.0,C
307,conical,brown,narrow,enlarging,paths,edible,8,orange,abundant,almond,No,none,fibrous,silky,orange,brown,universal,yellow,2.764712439,04/11/2023,04/03/2023,17.0,C
308,bell,red,broad,tapering,urban,edible,7,yellow,abundant,creosote,Yes,evanescent,fibrous,fibrous,white,gray,partial,brown,1.958197855,5/13/2023,05/04/2023,20.0,C
309,sunken,brown,broad,tapering,paths,poisonous,7,black,abundant,almond,No,flaring,silky,silky,pink,gray,universal,white,3.832932397,03/06/2022,03/01/2022,11.0,C
310,convex,brown,broad,enlarging,grasses,edible,3,black,numerous,musty,Yes,pendant,silky,scaly,orange,gray,universal,white,1.7183828,02/10/2023,02/04/2023,11.0,C
311,sunken,yellow,narrow,tapering,urban,edible,5,orange,scattered,creosote,No,none,scaly,scaly,pink,white,universal,white,2.337583442,04/05/2022,04/01/2022,29.0,C
312,conical,yellow,broad,tapering,grasses,edible,10,black,numerous,foul,No,evanescent,fibrous,silky,white,orange,partial,white,4.300891292,04/11/2023,04/02/2023,21.0,C
313,sunken,brown,broad,tapering,paths,edible,4,orange,abundant,musty,No,pendant,fibrous,smooth,pink,brown,universal,white,2.37630186,04/05/2023,04/01/2023,5.0,C
314,conical,yellow,broad,tapering,urban,edible,4,white,abundant,creosote,Yes,pendant,silky,smooth,gray,orange,universal,orange,3.616746785,03/06/2020,03/01/2020,28.0,C
